Monat,Jahr,"Verbraucherpreisindex insgesamt"
Sep,2022,10
Aug,2022,7.9
Jul,2022,7.5
Jun,2022,nan
Mai,2022,7.9
Apr,2022,7.4
Mär,2022,nan
Feb,2022,5.1
Jan,2022,4.9
Dez,2021,5.3
Nov,2021,nan
Okt,2021,4.5
Sep,2021,4.1
Aug,2021,3.9
Jul,2021,3.8
Jun,2021,2.3
Mai,2021,2.5
Apr,2021,2
Mär,2021,1.7
Feb,2021,1.3
Jan,2021,1
Dez,2020,-0.3
Nov,2020,-0.3
Okt,2020,nan
Sep,2020,-0.2
Aug,2020,0
Jul,2020,-0.1
Jun,2020,0.9
Mai,2020,0.6
Apr,2020,0.9
Mär,2020,1.4
Feb,2020,1.7
Jan,2020,1.7
Dez,2019,1.5
Nov,2019,1.1
Okt,2019,1.1
Sep,2019,1.2
Aug,2019,1.4
Jul,2019,1.7
Jun,2019,1.6
Mai,2019,1.4
Apr,2019,2
Mär,2019,1.3
Feb,2019,1.5
Jan,2019,1.4
Dez,2018,1.6
Nov,2018,2.1
Okt,2018,2.3
Sep,2018,1.9
Aug,2018,1.9
Jul,2018,1.9
Jun,2018,1.9
Mai,2018,2.1
Apr,2018,1.3
Mär,2018,nan
Feb,2018,1.1
Jan,2018,1.4
Dez,2017,1.4
Nov,2017,1.6
Okt,2017,1.3
Sep,2017,1.7
Aug,2017,1.6
Jul,2017,1.4
Jun,2017,1.4
Mai,2017,1.2
Apr,2017,1.7
Mär,2017,1.4
Feb,2017,1.9
Jan,2017,1.6
